name,highres_image,image_uris,mana_cost,cmc,type_line,power,toughness,colors,color_identity,image_uris_fr,img_en_small,img_en_normal,img_en_large,img_en_png,img_fr_small,img_fr_normal,img_fr_large,img_fr_png,W,U,B,R,G,WU,WB,WR,WG,UB,UR,UG,BR,RG
Dauntless Bodyguard,1,"{'small': 'https://img.scryfall.com/cards/small/front/a/3/a3f82012-5c33-47bc-a3c8-56ae2eea1fb9.jpg?1562740636', 'normal': 'https://img.scryfall.com/cards/normal/front/a/3/a3f82012-5c33-47bc-a3c8-56ae2eea1fb9.jpg?1562740636', 'large': 'https://img.scryfall.com/cards/large/front/a/3/a3f82012-5c33-47bc-a3c8-56ae2eea1fb9.jpg?1562740636', 'png': 'https://img.scryfall.com/cards/png/front/a/3/a3f82012-5c33-47bc-a3c8-56ae2eea1fb9.png?1562740636', 'art_crop': 'https://img.scryfall.com/cards/art_crop/front/a/3/a3f82012-5c33-47bc-a3c8-56ae2eea1fb9.jpg?1562740636', 'border_crop': 'https://img.scryfall.com/cards/border_crop/front/a/3/a3f82012-5c33-47bc-a3c8-56ae2eea1fb9.jpg?1562740636'}",{W},1,Creature: Human Knight,2,1,['W'],['W'],"{'small': 'https://img.scryfall.com/cards/small/front/b/5/b51646de-c48e-457a-be10-1f487cd8623f.jpg?1562741585', 'normal': 'https://img.scryfall.com/cards/normal/front/b/5/b51646de-c48e-457a-be10-1f487cd8623f.jpg?1562741585', 'large': 'https://img.scryfall.com/cards/large/front/b/5/b51646de-c48e-457a-be10-1f487cd8623f.jpg?1562741585', 'png': 'https://img.scryfall.com/cards/png/front/b/5/b51646de-c48e-457a-be10-1f487cd8623f.png?1562741585', 'art_crop': 'https://img.scryfall.com/cards/art_crop/front/b/5/b51646de-c48e-457a-be10-1f487cd8623f.jpg?1562741585', 'border_crop': 'https://img.scryfall.com/cards/border_crop/front/b/5/b51646de-c48e-457a-be10-1f487cd8623f.jpg?1562741585'}",https://img.scryfall.com/cards/small/front/a/3/a3f82012-5c33-47bc-a3c8-56ae2eea1fb9.jpg?1562740636,https://img.scryfall.com/cards/normal/front/a/3/a3f82012-5c33-47bc-a3c8-56ae2eea1fb9.jpg?1562740636,https://img.scryfall.com/cards/large/front/a/3/a3f82012-5c33-47bc-a3c8-56ae2eea1fb9.jpg?1562740636,https://img.scryfall.com/cards/png/front/a/3/a3f82012-5c33-47bc-a3c8-56ae2eea1fb9.png?1562740636,https://img.scryfall.com/cards/small/front/b/5/b51646de-c48e-457a-be10-1f487cd8623f.jpg?1562741585,https://img.scryfall.com/cards/normal/front/b/5/b51646de-c48e-457a-be10-1f487cd8623f.jpg?1562741585,https://img.scryfall.com/cards/large/front/b/5/b51646de-c48e-457a-be10-1f487cd8623f.jpg?1562741585,https://img.scryfall.com/cards/png/front/b/5/b51646de-c48e-457a-be10-1f487cd8623f.png?1562741585,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Giver of Runes,1,"{'small': 'https://img.scryfall.com/cards/small/front/4/e/4e117771-5a8b-4812-b487-32ba34b7f724.jpg?1562201124', 'normal': 'https://img.scryfall.com/cards/normal/front/4/e/4e117771-5a8b-4812-b487-32ba34b7f724.jpg?1562201124', 'large': 'https://img.scryfall.com/cards/large/front/4/e/4e117771-5a8b-4812-b487-32ba34b7f724.jpg?1562201124', 'png': 'https://img.scryfall.com/cards/png/front/4/e/4e117771-5a8b-4812-b487-32ba34b7f724.png?1562201124', 'art_crop': 'https://img.scryfall.com/cards/art_crop/front/4/e/4e117771-5a8b-4812-b487-32ba34b7f724.jpg?1562201124', 'border_crop': 'https://img.scryfall.com/cards/border_crop/front/4/e/4e117771-5a8b-4812-b487-32ba34b7f724.jpg?1562201124'}",{W},1,Creature: Kor Cleric,1,2,['W'],['W'],"{'small': 'https://img.scryfall.com/cards/small/front/2/1/212f21d6-fcd7-4792-a55f-23ba2723132f.jpg?1560372167', 'normal': 'https://img.scryfall.com/cards/normal/front/2/1/212f21d6-fcd7-4792-a55f-23ba2723132f.jpg?1560372167', 'large': 'https://img.scryfall.com/cards/large/front/2/1/212f21d6-fcd7-4792-a55f-23ba2723132f.jpg?1560372167', 'png': 'https://img.scryfall.com/cards/png/front/2/1/212f21d6-fcd7-4792-a55f-23ba2723132f.png?1560372167', 'art_crop': 'https://img.scryfall.com/cards/art_crop/front/2/1/212f21d6-fcd7-4792-a55f-23ba2723132f.jpg?1560372167', 'border_crop': 'https://img.scryfall.com/cards/border_crop/front/2/1/212f21d6-fcd7-4792-a55f-23ba2723132f.jpg?1560372167'}",https://img.scryfall.com/cards/small/front/4/e/4e117771-5a8b-4812-b487-32ba34b7f724.jpg?1562201124,https://img.scryfall.com/cards/normal/front/4/e/4e117771-5a8b-4812-b487-32ba34b7f724.jpg?1562201124,https://img.scryfall.com/cards/large/front/4/e/4e117771-5a8b-4812-b487-32ba34b7f724.jpg?1562201124,https://img.scryfall.com/cards/png/front/4/e/4e117771-5a8b-4812-b487-32ba34b7f724.png?1562201124,https://img.scryfall.com/cards/small/front/2/1/212f21d6-fcd7-4792-a55f-23ba2723132f.jpg?1560372167,https://img.scryfall.com/cards/normal/front/2/1/212f21d6-fcd7-4792-a55f-23ba2723132f.jpg?1560372167,https://img.scryfall.com/cards/large/front/2/1/212f21d6-fcd7-4792-a55f-23ba2723132f.jpg?1560372167,https://img.scryfall.com/cards/png/front/2/1/212f21d6-fcd7-4792-a55f-23ba2723132f.png?1560372167,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isamaru, Hound of Konda",1,"{'small': 'https://img.scryfall.com/cards/small/front/2/e/2e7f9919-0713-4ef9-96eb-3e0c444e47f4.jpg?1562758884', 'normal': 'https://img.scryfall.com/cards/normal/front/2/e/2e7f9919-0713-4ef9-96eb-3e0c444e47f4.jpg?1562758884', 'large': 'https://img.scryfall.com/cards/large/front/2/e/2e7f9919-0713-4ef9-96eb-3e0c444e47f4.jpg?1562758884', 'png': 'https://img.scryfall.com/cards/png/front/2/e/2e7f9919-0713-4ef9-96eb-3e0c444e47f4.png?1562758884', 'art_crop': 'https://img.scryfall.com/cards/art_crop/front/2/e/2e7f9919-0713-4ef9-96eb-3e0c444e47f4.jpg?1562758884', 'border_crop': 'https://img.scryfall.com/cards/border_crop/front/2/e/2e7f9919-0713-4ef9-96eb-3e0c444e47f4.jpg?1562758884'}",{W},1,Legendary Creature: Hound,2,2,['W'],['W'],"{'small': 'https://img.scryfall.com/cards/small/front/a/6/a63bc6ee-3cc1-4498-8b89-1d51cdbd3907.jpg?1537577593', 'normal': 'https://img.scryfall.com/cards/normal/front/a/6/a63bc6ee-3cc1-4498-8b89-1d51cdbd3907.jpg?1537577593', 'large': 'https://img.scryfall.com/cards/large/front/a/6/a63bc6ee-3cc1-4498-8b89-1d51cdbd3907.jpg?1537577593', 'png': 'https://img.scryfall.com/cards/png/front/a/6/a63bc6ee-3cc1-4498-8b89-1d51cdbd3907.png?1537577593', 'art_crop': 'https://img.scryfall.com/cards/art_crop/front/a/6/a63bc6ee-3cc1-4498-8b89-1d51cdbd3907.jpg?1537577593', 'border_crop': 'https://img.scryfall.com/cards/border_crop/front/a/6/a63bc6ee-3cc1-4498-8b89-1d51cdbd3907.jpg?1537577593'}",https://img.scryfall.com/cards/small/front/2/e/2e7f9919-0713-4ef9-96eb-3e0c444e47f4.jpg?1562758884,https://img.scryfall.com/cards/normal/front/2/e/2e7f9919-0713-4ef9-96eb-3e0c444e47f4.jpg?1562758884,https://img.scryfall.com/cards/large/front/2/e/2e7f9919-0713-4ef9-96eb-3e0c444e47f4.jpg?1562758884,https://img.scryfall.com/cards/png/front/2/e/2e7f9919-0713-4ef9-96eb-3e0c444e47f4.png?1562758884,https://img.scryfall.com/cards/small/front/a/6/a63bc6ee-3cc1-4498-8b89-1d51cdbd3907.jpg?1537577593,https://img.scryfall.com/cards/normal/front/a/6/a63bc6ee-3cc1-4498-8b89-1d51cdbd3907.jpg?1537577593,https://img.scryfall.com/cards/large/front/a/6/a63bc6ee-3cc1-4498-8b89-1d51cdbd3907.jpg?1537577593,https://img.scryfall.com/cards/png/front/a/6/a63bc6ee-3cc1-4498-8b89-1d51cdbd3907.png?1537577593,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mardu Woe-Reaper,1,"{'small': 'https://img.scryfall.com/cards/small/front/0/b/0bf14a32-b97b-48c7-8395-d9c3626735c1.jpg?1562822362', 'normal': 'https://img.scryfall.com/cards/normal/front/0/b/0bf14a32-b97b-48c7-8395-d9c3626735c1.jpg?1562822362', 'large': 'https://img.scryfall.com/cards/large/front/0/b/0bf14a32-b97b-48c7-8395-d9c3626735c1.jpg?1562822362', 'png': 'https://img.scryfall.com/cards/png/front/0/b/0bf14a32-b97b-48c7-8395-d9c3626735c1.png?1562822362', 'art_crop': 'https://img.scryfall.com/cards/art_crop/front/0/b/0bf14a32-b97b-48c7-8395-d9c3626735c1.jpg?1562822362', 'border_crop': 'https://img.scryfall.com/cards/border_crop/front/0/b/0bf14a32-b97b-48c7-8395-d9c3626735c1.jpg?1562822362'}",{W},1,Creature: Human Warrior,2,1,['W'],['W'],"{'small': 'https://img.scryfall.com/cards/small/front/f/1/f1ae85f7-52ed-42b3-933c-ab76c0c3e2b9.jpg?1562831469', 'normal': 'https://img.scryfall.com/cards/normal/front/f/1/f1ae85f7-52ed-42b3-933c-ab76c0c3e2b9.jpg?1562831469', 'large': 'https://img.scryfall.com/cards/large/front/f/1/f1ae85f7-52ed-42b3-933c-ab76c0c3e2b9.jpg?1562831469', 'png': 'https://img.scryfall.com/cards/png/front/f/1/f1ae85f7-52ed-42b3-933c-ab76c0c3e2b9.png?1562831469', 'art_crop': 'https://img.scryfall.com/cards/art_crop/front/f/1/f1ae85f7-52ed-42b3-933c-ab76c0c3e2b9.jpg?1562831469', 'border_crop': 'https://img.scryfall.com/cards/border_crop/front/f/1/f1ae85f7-52ed-42b3-933c-ab76c0c3e2b9.jpg?1562831469'}",https://img.scryfall.com/cards/small/front/0/b/0bf14a32-b97b-48c7-8395-d9c3626735c1.jpg?1562822362,https://img.scryfall.com/cards/normal/front/0/b/0bf14a32-b97b-48c7-8395-d9c3626735c1.jpg?1562822362,https://img.scryfall.com/cards/large/front/0/b/0bf14a32-b97b-48c7-8395-d9c3626735c1.jpg?1562822362,https://img.scryfall.com/cards/png/front/0/b/0bf14a32-b97b-48c7-8395-d9c3626735c1.png?1562822362,https://img.scryfall.com/cards/small/front/f/1/f1ae85f7-52ed-42b3-933c-ab76c0c3e2b9.jpg?1562831469,https://img.scryfall.com/cards/normal/front/f/1/f1ae85f7-52ed-42b3-933c-ab76c0c3e2b9.jpg?1562831469,https://img.scryfall.com/cards/large/front/f/1/f1ae85f7-52ed-42b3-933c-ab76c0c3e2b9.jpg?1562831469,https://img.scryfall.com/cards/png/front/f/1/f1ae85f7-52ed-42b3-933c-ab76c0c3e2b9.png?1562831469,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Skymarcher Aspirant,1,"{'small': 'https://img.scryfall.com/cards/small/front/e/5/e5d3a158-659e-4d25-ae73-54b566521e8b.jpg?1573506436', 'normal': 'https://img.scryfall.com/cards/normal/front/e/5/e5d3a158-659e-4d25-ae73-54b566521e8b.jpg?1573506436', 'large': 'https://img.scryfall.com/cards/large/front/e/5/e5d3a158-659e-4d25-ae73-54b566521e8b.jpg?1573506436', 'png': 'https://img.scryfall.com/cards/png/front/e/5/e5d3a158-659e-4d25-ae73-54b566521e8b.png?1573506436', 'art_crop': 'https://img.scryfall.com/cards/art_crop/front/e/5/e5d3a158-659e-4d25-ae73-54b566521e8b.jpg?1573506436', 'border_crop': 'https://img.scryfall.com/cards/border_crop/front/e/5/e5d3a158-659e-4d25-ae73-54b566521e8b.jpg?1573506436'}",{W},1,Creature: Vampire Soldier,2,1,['W'],['W'],"{'small': 'https://img.scryfall.com/cards/small/front/2/4/24029ea6-9290-421c-b44d-a63a337551c8.jpg?1562309884', 'normal': 'https://img.scryfall.com/cards/normal/front/2/4/24029ea6-9290-421c-b44d-a63a337551c8.jpg?1562309884', 'large': 'https://img.scryfall.com/cards/large/front/2/4/24029ea6-9290-421c-b44d-a63a337551c8.jpg?1562309884', 'png': 'https://img.scryfall.com/cards/png/front/2/4/24029ea6-9290-421c-b44d-a63a337551c8.png?1562309884', 'art_crop': 'https://img.scryfall.com/cards/art_crop/front/2/4/24029ea6-9290-421c-b44d-a63a337551c8.jpg?1562309884', 'border_crop': 'https://img.scryfall.com/cards/border_crop/front/2/4/24029ea6-9290-421c-b44d-a63a337551c8.jpg?1562309884'}",https://img.scryfall.com/cards/small/front/e/5/e5d3a158-659e-4d25-ae73-54b566521e8b.jpg?1573506436,https://img.scryfall.com/cards/normal/front/e/5/e5d3a158-659e-4d25-ae73-54b566521e8b.jpg?1573506436,https://img.scryfall.com/cards/large/front/e/5/e5d3a158-659e-4d25-ae73-54b566521e8b.jpg?1573506436,https://img.scryfall.com/cards/png/front/e/5/e5d3a158-659e-4d25-ae73-54b566521e8b.png?1573506436,https://img.scryfall.com/cards/small/front/2/4/24029ea6-9290-421c-b44d-a63a337551c8.jpg?1562309884,https://img.scryfall.com/cards/normal/front/2/4/24029ea6-9290-421c-b44d-a63a337551c8.jpg?1562309884,https://img.scryfall.com/cards/large/front/2/4/24029ea6-9290-421c-b44d-a63a337551c8.jpg?1562309884,https://img.scryfall.com/cards/png/front/2/4/24029ea6-9290-421c-b44d-a63a337551c8.png?1562309884,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Soldier of the Pantheon,1,"{'small': 'https://img.scryfall.com/cards/small/front/5/c/5cfc0f46-4df4-4ae3-bfe6-391916eb590f.jpg?1562818721', 'normal': 'https://img.scryfall.com/cards/normal/front/5/c/5cfc0f46-4df4-4ae3-bfe6-391916eb590f.jpg?1562818721', 'large': 'https://img.scryfall.com/cards/large/front/5/c/5cfc0f46-4df4-4ae3-bfe6-391916eb590f.jpg?1562818721', 'png': 'https://img.scryfall.com/cards/png/front/5/c/5cfc0f46-4df4-4ae3-bfe6-391916eb590f.png?1562818721', 'art_crop': 'https://img.scryfall.com/cards/art_crop/front/5/c/5cfc0f46-4df4-4ae3-bfe6-391916eb590f.jpg?1562818721', 'border_crop': 'https://img.scryfall.com/cards/border_crop/front/5/c/5cfc0f46-4df4-4ae3-bfe6-391916eb590f.jpg?1562818721'}",{W},1,Creature: Human Soldier,2,1,['W'],['W'],"{'small': 'https://img.scryfall.com/cards/small/front/e/0/e0c0c362-131f-451b-bd6d-e41631632334.jpg?1562834565', 'normal': 'https://img.scryfall.com/cards/normal/front/e/0/e0c0c362-131f-451b-bd6d-e41631632334.jpg?1562834565', 'large': 'https://img.scryfall.com/cards/large/front/e/0/e0c0c362-131f-451b-bd6d-e41631632334.jpg?1562834565', 'png': 'https://img.scryfall.com/cards/png/front/e/0/e0c0c362-131f-451b-bd6d-e41631632334.png?1562834565', 'art_crop': 'https://img.scryfall.com/cards/art_crop/front/e/0/e0c0c362-131f-451b-bd6d-e41631632334.jpg?1562834565', 'border_crop': 'https://img.scryfall.com/cards/border_crop/front/e/0/e0c0c362-131f-451b-bd6d-e41631632334.jpg?1562834565'}",https://img.scryfall.com/cards/small/front/5/c/5cfc0f46-4df4-4ae3-bfe6-391916eb590f.jpg?1562818721,https://img.scryfall.com/cards/normal/front/5/c/5cfc0f46-4df4-4ae3-bfe6-391916eb590f.jpg?1562818721,https://img.scryfall.com/cards/large/front/5/c/5cfc0f46-4df4-4ae3-bfe6-391916eb590f.jpg?1562818721,https://img.scryfall.com/cards/png/front/5/c/5cfc0f46-4df4-4ae3-bfe6-391916eb590f.png?1562818721,https://img.scryfall.com/cards/small/front/e/0/e0c0c362-131f-451b-bd6d-e41631632334.jpg?1562834565,https://img.scryfall.com/cards/normal/front/e/0/e0c0c362-131f-451b-bd6d-e41631632334.jpg?1562834565,https://img.scryfall.com/cards/large/front/e/0/e0c0c362-131f-451b-bd6d-e41631632334.jpg?1562834565,https://img.scryfall.com/cards/png/front/e/0/e0c0c362-131f-451b-bd6d-e41631632334.png?1562834565,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Steppe Lynx,1,"{'small': 'https://img.scryfall.com/cards/small/front/b/0/b0aaec1c-8084-4468-82e7-2e4cc5ebe244.jpg?1562615536', 'normal': 'https://img.scryfall.com/cards/normal/front/b/0/b0aaec1c-8084-4468-82e7-2e4cc5ebe244.jpg?1562615536', 'large': 'https://img.scryfall.com/cards/large/front/b/0/b0aaec1c-8084-4468-82e7-2e4cc5ebe244.jpg?1562615536', 'png': 'https://img.scryfall.com/cards/png/front/b/0/b0aaec1c-8084-4468-82e7-2e4cc5ebe244.png?1562615536', 'art_crop': 'https://img.scryfall.com/cards/art_crop/front/b/0/b0aaec1c-8084-4468-82e7-2e4cc5ebe244.jpg?1562615536', 'border_crop': 'https://img.scryfall.com/cards/border_crop/front/b/0/b0aaec1c-8084-4468-82e7-2e4cc5ebe244.jpg?1562615536'}",{W},1,Creature: Cat,0,1,['W'],['W'],"{'small': 'https://img.scryfall.com/cards/small/front/f/9/f90ed0a5-513d-48aa-96e6-01adc8605885.jpg?1562618517', 'normal': 'https://img.scryfall.com/cards/normal/front/f/9/f90ed0a5-513d-48aa-96e6-01adc8605885.jpg?1562618517', 'large': 'https://img.scryfall.com/cards/large/front/f/9/f90ed0a5-513d-48aa-96e6-01adc8605885.jpg?1562618517', 'png': 'https://img.scryfall.com/cards/png/front/f/9/f90ed0a5-513d-48aa-96e6-01adc8605885.png?1562618517', 'art_crop': 'https://img.scryfall.com/cards/art_crop/front/f/9/f90ed0a5-513d-48aa-96e6-01adc8605885.jpg?1562618517', 'border_crop': 'https://img.scryfall.com/cards/border_crop/front/f/9/f90ed0a5-513d-48aa-96e6-01adc8605885.jpg?1562618517'}",https://img.scryfall.com/cards/small/front/b/0/b0aaec1c-8084-4468-82e7-2e4cc5ebe244.jpg?1562615536,https://img.scryfall.com/cards/normal/front/b/0/b0aaec1c-8084-4468-82e7-2e4cc5ebe244.jpg?1562615536,https://img.scryfall.com/cards/large/front/b/0/b0aaec1c-8084-4468-82e7-2e4cc5ebe244.jpg?1562615536,https://img.scryfall.com/cards/png/front/b/0/b0aaec1c-8084-4468-82e7-2e4cc5ebe244.png?1562615536,https://img.scryfall.com/cards/small/front/f/9/f90ed0a5-513d-48aa-96e6-01adc8605885.jpg?1562618517,https://img.scryfall.com/cards/normal/front/f/9/f90ed0a5-513d-48aa-96e6-01adc8605885.jpg?1562618517,https://img.scryfall.com/cards/large/front/f/9/f90ed0a5-513d-48aa-96e6-01adc8605885.jpg?1562618517,https://img.scryfall.com/cards/png/front/f/9/f90ed0a5-513d-48aa-96e6-01adc8605885.png?1562618517,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Thraben Inspector,1,"{'small': 'https://img.scryfall.com/cards/small/front/0/9/09110c28-299e-4f97-81f5-af3d51f0aef9.jpg?1573506647', 'normal': 'https://img.scryfall.com/cards/normal/front/0/9/09110c28-299e-4f97-81f5-af3d51f0aef9.jpg?1573506647', 'large': 'https://img.scryfall.com/cards/large/front/0/9/09110c28-299e-4f97-81f5-af3d51f0aef9.jpg?1573506647', 'png': 'https://img.scryfall.com/cards/png/front/0/9/09110c28-299e-4f97-81f5-af3d51f0aef9.png?1573506647', 'art_crop': 'https://img.scryfall.com/cards/art_crop/front/0/9/09110c28-299e-4f97-81f5-af3d51f0aef9.jpg?1573506647', 'border_crop': 'https://img.scryfall.com/cards/border_crop/front/0/9/09110c28-299e-4f97-81f5-af3d51f0aef9.jpg?1573506647'}",{W},1,Creature: Human Soldier,1,2,['W'],['W'],"{'small': 'https://img.scryfall.com/cards/small/front/5/d/5d64ab42-3f77-4a2e-821c-8649a43cd8f9.jpg?1562686386', 'normal': 'https://img.scryfall.com/cards/normal/front/5/d/5d64ab42-3f77-4a2e-821c-8649a43cd8f9.jpg?1562686386', 'large': 'https://img.scryfall.com/cards/large/front/5/d/5d64ab42-3f77-4a2e-821c-8649a43cd8f9.jpg?1562686386', 'png': 'https://img.scryfall.com/cards/png/front/5/d/5d64ab42-3f77-4a2e-821c-8649a43cd8f9.png?1562686386', 'art_crop': 'https://img.scryfall.com/cards/art_crop/front/5/d/5d64ab42-3f77-4a2e-821c-8649a43cd8f9.jpg?1562686386', 'border_crop': 'https://img.scryfall.com/cards/border_crop/front/5/d/5d64ab42-3f77-4a2e-821c-8649a43cd8f9.jpg?1562686386'}",https://img.scryfall.com/cards/small/front/0/9/09110c28-299e-4f97-81f5-af3d51f0aef9.jpg?1573506647,https://img.scryfall.com/cards/normal/front/0/9/09110c28-299e-4f97-81f5-af3d51f0aef9.jpg?1573506647,https://img.scryfall.com/cards/large/front/0/9/09110c28-299e-4f97-81f5-af3d51f0aef9.jpg?1573506647,https://img.scryfall.com/cards/png/front/0/9/09110c28-299e-4f97-81f5-af3d51f0aef9.png?1573506647,https://img.scryfall.com/cards/small/front/5/d/5d64ab42-3f77-4a2e-821c-8649a43cd8f9.jpg?1562686386,https://img.scryfall.com/cards/normal/front/5/d/5d64ab42-3f77-4a2e-821c-8649a43cd8f9.jpg?1562686386,https://img.scryfall.com/cards/large/front/5/d/5d64ab42-3f77-4a2e-821c-8649a43cd8f9.jpg?1562686386,https://img.scryfall.com/cards/png/front/5/d/5d64ab42-3f77-4a2e-821c-8649a43cd8f9.png?1562686386,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Accorder Paladin,1,"{'small': 'https://img.scryfall.com/cards/small/front/d/f/df0a4370-729d-40e7-b68b-21902648492d.jpg?1562615434', 'normal': 'https://img.scryfall.com/cards/normal/front/d/f/df0a4370-729d-40e7-b68b-21902648492d.jpg?1562615434', 'large': 'https://img.scryfall.com/cards/large/front/d/f/df0a4370-729d-40e7-b68b-21902648492d.jpg?1562615434', 'png': 'https://img.scryfall.com/cards/png/front/d/f/df0a4370-729d-40e7-b68b-21902648492d.png?1562615434', 'art_crop': 'https://img.scryfall.com/cards/art_crop/front/d/f/df0a4370-729d-40e7-b68b-21902648492d.jpg?1562615434', 'border_crop': 'https://img.scryfall.com/cards/border_crop/front/d/f/df0a4370-729d-40e7-b68b-21902648492d.jpg?1562615434'}",{1}{W},2,Creature: Human Knight,3,1,['W'],['W'],"{'small': 'https://img.scryfall.com/cards/small/front/6/6/664f44d8-7faa-4d11-9da7-862017e81270.jpg?1562611867', 'normal': 'https://img.scryfall.com/cards/normal/front/6/6/664f44d8-7faa-4d11-9da7-862017e81270.jpg?1562611867', 'large': 'https://img.scryfall.com/cards/large/front/6/6/664f44d8-7faa-4d11-9da7-862017e81270.jpg?1562611867', 'png': 'https://img.scryfall.com/cards/png/front/6/6/664f44d8-7faa-4d11-9da7-862017e81270.png?1562611867', 'art_crop': 'https://img.scryfall.com/cards/art_crop/front/6/6/664f44d8-7faa-4d11-9da7-862017e81270.jpg?1562611867', 'border_crop': 'https://img.scryfall.com/cards/border_crop/front/6/6/664f44d8-7faa-4d11-9da7-862017e81270.jpg?1562611867'}",https://img.scryfall.com/cards/small/front/d/f/df0a4370-729d-40e7-b68b-21902648492d.jpg?1562615434,https://img.scryfall.com/cards/normal/front/d/f/df0a4370-729d-40e7-b68b-21902648492d.jpg?1562615434,https://img.scryfall.com/cards/large/front/d/f/df0a4370-729d-40e7-b68b-21902648492d.jpg?1562615434,https://img.scryfall.com/cards/png/front/d/f/df0a4370-729d-40e7-b68b-21902648492d.png?1562615434,https://img.scryfall.com/cards/small/front/6/6/664f44d8-7faa-4d11-9da7-862017e81270.jpg?1562611867,https://img.scryfall.com/cards/normal/front/6/6/664f44d8-7faa-4d11-9da7-862017e81270.jpg?1562611867,https://img.scryfall.com/cards/large/front/6/6/664f44d8-7faa-4d11-9da7-862017e81270.jpg?1562611867,https://img.scryfall.com/cards/png/front/6/6/664f44d8-7faa-4d11-9da7-862017e81270.png?1562611867,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anafenza, Kin-Tree Spirit",1,"{'small': 'https://img.scryfall.com/cards/small/front/5/5/55611f05-10cf-42d0-b93e-7f0c0c852a06.jpg?1562786470', 'normal': 'https://img.scryfall.com/cards/normal/front/5/5/55611f05-10cf-42d0-b93e-7f0c0c852a06.jpg?1562786470', 'large': 'https://img.scryfall.com/cards/large/front/5/5/55611f05-10cf-42d0-b93e-7f0c0c852a06.jpg?1562786470', 'png': 'https://img.scryfall.com/cards/png/front/5/5/55611f05-10cf-42d0-b93e-7f0c0c852a06.png?1562786470', 'art_crop': 'https://img.scryfall.com/cards/art_crop/front/5/5/55611f05-10cf-42d0-b93e-7f0c0c852a06.jpg?1562786470', 'border_crop': 'https://img.scryfall.com/cards/border_crop/front/5/5/55611f05-10cf-42d0-b93e-7f0c0c852a06.jpg?1562786470'}",{W}{W},2,Legendary Creature: Spirit Soldier,2,2,['W'],['W'],"{'small': 'https://img.scryfall.com/cards/small/front/0/8/08753e6f-e0eb-4ebc-b027-1516844c84c3.jpg?1562782143', 'normal': 'https://img.scryfall.com/cards/normal/front/0/8/08753e6f-e0eb-4ebc-b027-1516844c84c3.jpg?1562782143', 'large': 'https://img.scryfall.com/cards/large/front/0/8/08753e6f-e0eb-4ebc-b027-1516844c84c3.jpg?1562782143', 'png': 'https://img.scryfall.com/cards/png/front/0/8/08753e6f-e0eb-4ebc-b027-1516844c84c3.png?1562782143', 'art_crop': 'https://img.scryfall.com/cards/art_crop/front/0/8/08753e6f-e0eb-4ebc-b027-1516844c84c3.jpg?1562782143', 'border_crop': 'https://img.scryfall.com/cards/border_crop/front/0/8/08753e6f-e0eb-4ebc-b027-1516844c84c3.jpg?1562782143'}",https://img.scryfall.com/cards/small/front/5/5/55611f05-10cf-42d0-b93e-7f0c0c852a06.jpg?1562786470,https://img.scryfall.com/cards/normal/front/5/5/55611f05-10cf-42d0-b93e-7f0c0c852a06.jpg?1562786470,https://img.scryfall.com/cards/large/front/5/5/55611f05-10cf-42d0-b93e-7f0c0c852a06.jpg?1562786470,https://img.scryfall.com/cards/png/front/5/5/55611f05-10cf-42d0-b93e-7f0c0c852a06.png?1562786470,https://img.scryfall.com/cards/small/front/0/8/08753e6f-e0eb-4ebc-b027-1516844c84c3.jpg?1562782143,https://img.scryfall.com/cards/normal/front/0/8/08753e6f-e0eb-4ebc-b027-1516844c84c3.jpg?1562782143,https://img.scryfall.com/cards/large/front/0/8/08753e6f-e0eb-4ebc-b027-1516844c84c3.jpg?1562782143,https://img.scryfall.com/cards/png/front/0/8/08753e6f-e0eb-4ebc-b027-1516844c84c3.png?1562782143,1,0,0,0,0,0,0,0,0,0,0,0,0,0
